Mechanism,NOx.Emissions,Temperature,HCHO
RADM2,207225040,289.50,3.94180155183221
RADM2,213177456,289.50,3.97200583535096
RADM2,219147920,289.50,4.00116562104813
RADM2,225135152,289.50,4.02932398557709
RADM2,231136896,289.50,4.05651867652068
RADM2,237152624,289.50,4.08278566510489
RADM2,243181136,289.50,4.1081595902881
RADM2,249220896,289.50,4.13267287058261
RADM2,255270704,289.50,4.15635614814391
RADM2,261329440,289.50,4.17923917694907
RADM2,264361824,289.50,4.19038936882998
RADM2,325220480,289.50,4.37743219450226
RADM2,385894560,289.50,4.50898784976062
RADM2,445771968,289.50,4.5992427644137
RADM2,504510976,289.50,4.65841498709096
RADM2,561957824,289.50,4.69425698312875
RADM2,618070528,289.50,4.71273864377508
RADM2,672864768,289.50,4.71840566618198
RADM2,726392576,289.50,4.71579042482517
RADM2,778724928,289.50,4.70975303201726
RADM2,829934720,289.50,4.69816674453227
RADM2,880093632,289.50,4.6824650823396
RADM2,929267648,289.50,4.6637187445242
RADM2,977521344,289.50,4.64273020028827
RADM2,1024920768,289.50,4.62010385504641
RADM2,1071523712,289.50,4.59630022930924
RADM2,1117386240,289.50,4.57168392031804
RADM2,1162550400,289.50,4.54691884144154
RADM2,1207060352,289.50,4.52327730826596
RADM2,1250948736,289.50,4.49925030565623
RADM2,1294250240,289.50,4.47498127442714
RADM2,1336995840,289.50,4.4505843455056
RADM2,1379212160,289.50,4.42614522810914
RADM2,1420923136,289.50,4.4017345324221
RADM2,1462173056,289.50,4.37744018810804
RADM2,1502961792,289.50,4.35328084691378
RADM2,1543309184,289.50,4.32927960147822
RADM2,1583230208,289.50,4.30546887031369
RADM2,1622741504,289.50,4.28186908152384
RADM2,1661855744,289.50,4.25849711049864
RADM2,1700593024,289.50,4.23536494764676
RADM2,1738961536,289.50,4.21248058657397
RADM2,1776974848,289.50,4.18985335315369
RADM2,1814644480,289.50,4.16748902054564
RADM2,1851988992,289.50,4.14540979321032
RADM2,1889010048,289.50,4.12359746349011
RADM2,1925720192,289.50,4.10205291956345
RADM2,1962119936,289.50,4.08077482916269
RADM2,1998215296,289.50,4.05976230410943
RADM2,2034011904,289.50,4.03901356804681
RADM2,2069521152,289.50,4.01852595643959
RADM2,1775524.875,289.00,0.959311075021674
RADM2,5451009.5,289.00,1.12848075328742
RADM2,9263621,289.00,1.28455202030864
RADM2,13194014,289.00,1.42638256761529
RADM2,17232150,289.00,1.56218038505074
RADM2,21370978,289.00,1.69101699309948
RADM2,25605194,289.00,1.81287962419674
RADM2,29929676,289.00,1.92868498949395
RADM2,34339944,289.00,2.03902628115316
RADM2,38831888,289.00,2.14432027689782
RADM2,43401884,289.00,2.24489471456479
RADM2,48046680,289.00,2.34102404128578
RADM2,52763032,289.00,2.43293740709305
RADM2,57548124,289.00,2.52083420804183
RADM2,62399076,289.00,2.60491028747367
RADM2,67313704,289.00,2.6853428369833
RADM2,72289752,289.00,2.76229927820282
RADM2,77325936,289.00,2.83592993532977
RADM2,82421376,289.00,2.90640578270995
RADM2,87574672,289.00,2.97387559022866
RADM2,92784168,289.00,3.03848080029923
RADM2,98046672,289.00,3.10034198314213
RADM2,103358248,289.00,3.15959303165414
RADM2,108714880,289.00,3.21636806077663
RADM2,114113312,289.00,3.27078741868547
RADM2,119550896,289.00,3.32296479221839
RADM2,125025464,289.00,3.37300809505336
RADM2,130534424,289.00,3.42102346451156
RADM2,136076944,289.00,3.46710904430836
