Mechanism,NOx.Emissions,Temperature,OH
RADM2,1390855936,288.50,0.109479835136775
RADM2,1431511552,288.50,0.106054420345551
RADM2,1471736960,288.50,0.102803521446516
RADM2,1511534976,288.50,0.0997175296979166
RADM2,1550928000,288.50,0.0967870735272235
RADM2,1589922560,288.50,0.0940031540564053
RADM2,1628536832,288.50,0.091357084115555
RADM2,1666783360,288.50,0.0888405763343168
RADM2,1704672256,288.50,0.0864454585388155
RADM2,1742217728,288.50,0.0841638499345099
RADM2,1779429248,288.50,0.0819891572169384
RADM2,1816326912,288.50,0.0799136012355137
RADM2,1852918016,288.50,0.0780212754212389
RADM2,1889202432,288.50,0.0760630233386135
RADM2,1925196928,288.50,0.0742298339765843
RADM2,1960896384,288.50,0.0724870128656317
RADM2,1996307840,288.50,0.0708220713519815
RADM2,2031438848,288.50,0.069228436459963
RADM2,1792858.5,289.50,0.0297347629645787
RADM2,5504838,289.50,0.0325126752777349
RADM2,9355964,289.50,0.0357878433647745
RADM2,13326697,289.50,0.0392749865290622
RADM2,17406782,289.50,0.0428879886249164
RADM2,21589202,289.50,0.0465787280165379
RADM2,25868538,289.50,0.0503176737472535
RADM2,30239506,289.50,0.0540862080328827
RADM2,34697616,289.50,0.0578713102829601
RADM2,39238804,289.50,0.0616641611904389
RADM2,43859460,289.50,0.0654584351132692
RADM2,48556156,289.50,0.069249408995737
RADM2,53325776,289.50,0.0730333084590293
RADM2,58165480,289.50,0.0768070231981638
RADM2,63072372,289.50,0.080568425466377
RADM2,68044288,289.50,0.0843157398826115
RADM2,73079144,289.50,0.0880480855326021
RADM2,78176032,289.50,0.0917658418871092
RADM2,83333920,289.50,0.09547049972412
RADM2,88551120,289.50,0.0991574444081378
RADM2,93825336,289.50,0.102816877462029
RADM2,99152552,289.50,0.106442727353627
RADM2,104528888,289.50,0.110029356231636
RADM2,109950192,289.50,0.113569601585452
RADM2,115413648,289.50,0.117058123719378
RADM2,120916904,289.50,0.120485449416931
RADM2,126457360,289.50,0.123852235975677
RADM2,132033264,289.50,0.127163118359905
RADM2,137643056,289.50,0.130417527363473
RADM2,143285200,289.50,0.133614216153884
RADM2,148959648,289.50,0.136757494434772
RADM2,154664784,289.50,0.13984711826065
RADM2,160399792,289.50,0.142884605514558
RADM2,166163600,289.50,0.145870999741088
RADM2,171955328,289.50,0.148805989232115
RADM2,177773872,289.50,0.151688815046118
RADM2,183617664,289.50,0.154522662026979
RADM2,189485664,289.50,0.157358487676805
RADM2,195377632,289.50,0.160144209633735
RADM2,201291408,289.50,0.162876832789267
RADM2,207225040,289.50,0.16555288769645
RADM2,213177456,289.50,0.168172171067377
RADM2,219147920,289.50,0.170734818427318
RADM2,225135152,289.50,0.173238945974999
RADM2,231136896,289.50,0.175681870310043
RADM2,237152624,289.50,0.178063510117288
RADM2,243181136,289.50,0.180382659221816
RADM2,249220896,289.50,0.182637881055749
RADM2,255270704,289.50,0.184828118521968
RADM2,261329440,289.50,0.186952517811263
RADM2,264361824,289.50,0.187989746924626
RADM2,325220480,289.50,0.205131349189855
RADM2,385894560,289.50,0.215349710720042
RADM2,445771968,289.50,0.220497150269297
RADM2,504510976,289.50,0.220677358222891
RADM2,561957824,289.50,0.217574303842602
RADM2,618070528,289.50,0.212467996213266
RADM2,672864768,289.50,0.205595862058129
RADM2,726392576,289.50,0.198698181389304
RADM2,778724928,289.50,0.190979935858759
RADM2,829934720,289.50,0.183558612645678
RADM2,880093632,289.50,0.176385761465475
RADM2,929267648,289.50,0.169202827205069
RADM2,977521344,289.50,0.162170339548622
RADM2,1024920768,289.50,0.155942004643507
RADM2,1071523712,289.50,0.149981250834562
RADM2,1117386240,289.50,0.144257571383158
RADM2,1162550400,289.50,0.138801147767272
RADM2,1207060352,289.50,0.13362176491151
RADM2,1250948736,289.50,0.128719992022013
RADM2,1294250240,289.50,0.124154741934328
RADM2,1336995840,289.50,0.119994929249044
RADM2,1379212160,289.50,0.116045695730711
RADM2,1420923136,289.50,0.112299492621704
RADM2,1462173056,289.50,0.108748222287045
RADM2,1502961792,289.50,0.105380703891832
RADM2,1543309184,289.50,0.10218719316904
RADM2,1583230208,289.50,0.0991575934859365
RADM2,1622741504,289.50,0.096281421962767
