Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Reaction,Rate,Net.Reaction.Rate
CB05,288,4.94058738365055e-10,73794288,C2O3 + NO2 = PAN,21720478,11081846
CB05,288,4.94058738365055e-10,73794288,CXO3 + NO2 = PANX,19505770,11081846
CB05,288,5.2758231117167e-10,78351536,HO2NO2 = HO2 + NO2,-153092656,11718809
CB05,288,5.2758231117167e-10,78351536,PAN = C2O3 + NO2,-12914772,11718809
CB05,288,5.2758231117167e-10,78351536,PANX = CXO3 + NO2,-11510291,11718809
CB05,288,5.2758231117167e-10,78351536,PAN = UNITY,-4161903,11718809
CB05,288,5.2758231117167e-10,78351536,PANX = UNITY,-3615127,11718809
CB05,288,5.2758231117167e-10,78351536,Others,-33778.1728515625,11718809
CB05,288,5.2758231117167e-10,78351536,HO2 + NO2 = HO2NO2,153421264,11718809
CB05,288,5.2758231117167e-10,78351536,C2O3 + NO2 = PAN,23000038,11718809
CB05,288,5.2758231117167e-10,78351536,CXO3 + NO2 = PANX,20625960,11718809
CB05,288,5.6182203334032e-10,82981184,HO2NO2 = HO2 + NO2,-162531392,12370073
CB05,288,5.6182203334032e-10,82981184,PAN = C2O3 + NO2,-13648243,12370073
CB05,288,5.6182203334032e-10,82981184,PANX = CXO3 + NO2,-12161037,12370073
CB05,288,5.6182203334032e-10,82981184,PAN = UNITY,-4396736,12370073
CB05,288,5.6182203334032e-10,82981184,PANX = UNITY,-3819236.25,12370073
CB05,288,5.6182203334032e-10,82981184,Others,-37375.056640625,12370073
CB05,288,5.6182203334032e-10,82981184,HO2 + NO2 = HO2NO2,162881200,12370073
CB05,288,5.6182203334032e-10,82981184,C2O3 + NO2 = PAN,24300792,12370073
CB05,288,5.6182203334032e-10,82981184,CXO3 + NO2 = PANX,21782136,12370073
CB05,288,5.96778515493668e-10,87679896,HO2NO2 = HO2 + NO2,-171997296,13034562
CB05,288,5.96778515493668e-10,87679896,PAN = C2O3 + NO2,-14392705,13034562
CB05,288,5.96778515493668e-10,87679896,PANX = CXO3 + NO2,-12830931,13034562
CB05,288,5.96778515493668e-10,87679896,PAN = UNITY,-4634807.5,13034562
CB05,288,5.96778515493668e-10,87679896,PANX = UNITY,-4029630.75,13034562
CB05,288,5.96778515493668e-10,87679896,Others,-41177.54296875,13034562
CB05,288,5.96778515493668e-10,87679896,HO2 + NO2 = HO2NO2,172368528,13034562
CB05,288,5.96778515493668e-10,87679896,C2O3 + NO2 = PAN,25620750,13034562
CB05,288,5.96778515493668e-10,87679896,CXO3 + NO2 = PANX,22971962,13034562
CB05,288,6.32452756832436e-10,92444464,HO2NO2 = HO2 + NO2,-181476064,13711357
CB05,288,6.32452756832436e-10,92444464,PAN = C2O3 + NO2,-15147074,13711357
CB05,288,6.32452756832436e-10,92444464,PANX = CXO3 + NO2,-13518630,13711357
CB05,288,6.32452756832436e-10,92444464,PAN = UNITY,-4875757.5,13711357
CB05,288,6.32452756832436e-10,92444464,PANX = UNITY,-4245860,13711357
CB05,288,6.32452756832436e-10,92444464,Others,-45183.140625,13711357
CB05,288,6.32452756832436e-10,92444464,HO2 + NO2 = HO2NO2,181868704,13711357
CB05,288,6.32452756832436e-10,92444464,C2O3 + NO2 = PAN,26958058,13711357
CB05,288,6.32452756832436e-10,92444464,CXO3 + NO2 = PANX,24193178,13711357
CB05,288,6.68845978601951e-10,97271648,HO2NO2 = HO2 + NO2,-190956288,14399952
CB05,288,6.68845978601951e-10,97271648,PAN = C2O3 + NO2,-15910527,14399952
CB05,288,6.68845978601951e-10,97271648,PANX = CXO3 + NO2,-14222938,14399952
