Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
MCMv3.2,289,1.77812387036624e-09,197134320,25197196
MCMv3.2,289,1.8396900669515e-09,202813248,25835484
MCMv3.2,289,1.90211224548875e-09,208513584,26464544
MCMv3.2,289,1.9653909610895e-09,214234240,27083836
MCMv3.2,289,2.02952810113288e-09,219974320,27692662
MCMv3.2,289,2.09452388766351e-09,225732816,28290658
MCMv3.2,289,2.16037809863678e-09,231508832,28877392
MCMv3.2,289,2.19362705777826e-09,234403264,29166254
MCMv3.2,289,2.90440582695339e-09,293011968,34278792
MCMv3.2,289,3.70124442206077e-09,352535232,38068532
MCMv3.2,289,4.56897009115664e-09,412424896,40637424
MCMv3.2,289,5.49189049792176e-09,472260576,42198612
MCMv3.2,289,6.45411324384781e-09,531719648,42977300
MCMv3.2,289,7.44207051539547e-09,590576576,43173924
MCMv3.2,289,8.44484215889452e-09,648674304,42948384
MCMv3.2,289,9.45386524620062e-09,705905920,42424936
MCMv3.2,289,1.04627906338806e-08,762216640,41697404
MCMv3.2,289,1.14669367334841e-08,817582336,40835960
MCMv3.2,289,1.24627046460546e-08,871994048,39890640
MCMv3.2,289,1.34477353697093e-08,925460352,38898584
MCMv3.2,289,1.44202649821068e-08,977997632,37885584
MCMv3.2,289,1.53788537460287e-08,1029624448,36871096
MCMv3.2,289,1.63229270100373e-08,1080366464,35866512
MCMv3.2,289,1.72521232855161e-08,1130245504,34880116
MCMv3.2,289,1.81661210518769e-08,1179288960,33917776
MCMv3.2,289,1.90648492548462e-08,1227523328,32983548
MCMv3.2,289,1.99483558560587e-08,1274974208,32079516
MCMv3.2,289,2.08167456605679e-08,1321665920,31206912
MCMv3.2,289,2.16701980804146e-08,1367624064,30366308
MCMv3.2,289,2.25088641059301e-08,1412874880,29557974
MCMv3.2,289,2.33331327592623e-08,1457436416,28780840
MCMv3.2,289,2.41432864811486e-08,1501331072,28034218
MCMv3.2,289,2.49396414631065e-08,1544579200,27316994
MCMv3.2,289,2.57225014621554e-08,1587203072,26628642
MCMv3.2,289,2.64922199733064e-08,1629222144,25967794
MCMv3.2,289,2.72491860187074e-08,1670647424,25332540
MCMv3.2,289,2.79937530933694e-08,1711498368,24723360
MCMv3.2,289,2.87260473186279e-08,1751792256,24139626
MCMv3.2,289,2.94465927197507e-08,1791543040,23578762
MCMv3.2,289,3.01557356863213e-08,1830765184,23039354
MCMv3.2,289,3.08538012916415e-08,1869470592,22519820
MCMv3.2,289,3.15408499318437e-08,1907678336,22022274
MCMv3.2,289,3.2217478462826e-08,1945396480,21544122
MCMv3.2,289,3.28840705776656e-08,1982636928,21083936
MCMv3.2,289,3.35407435159141e-08,2019411456,20640256
MCMv3.2,289,3.41880941334693e-08,2055728640,20212876
MCMv3.2,289,3.4826172168323e-08,2091597184,19800286
MCMv3.2,289,3.54552440740008e-08,2127036288,19402238
MCMv3.2,289.5,4.94390509434006e-12,1412116.125,348478.53125
MCMv3.2,289.5,1.75250144257566e-11,4283070.5,993593.0625
MCMv3.2,289.5,3.40137952525854e-11,7233239.5,1552116.25
MCMv3.2,289.5,5.37685104773367e-11,10276169,2040734
MCMv3.2,289.5,7.60313340064656e-11,13417930,2485501
MCMv3.2,289.5,1.00163093097461e-10,16661075,2906172
MCMv3.2,289.5,1.25839200171285e-10,20006808,3315778.5
MCMv3.2,289.5,1.52870979763797e-10,23455686,3722890.25
MCMv3.2,289.5,1.81147735700549e-10,27007756,4133305
MCMv3.2,289.5,2.10654993448856e-10,30662790,4551048.5
