Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
CB05,289.5,3.17673389815809e-08,1926993408,19181022
CB05,289.5,3.24548601327024e-08,1964981504,18684964
CB05,289.5,3.31316734047959e-08,2002484352,18209044
CB05,289.5,3.37981127529474e-08,2039514240,17751666
CB05,289.5,3.44544659469648e-08,2076081280,17311354
CB05,289.5,3.51010847055022e-08,2112198528,16887522
CB05,289.5,3.57382781146498e-08,2147875584,16480289
CB05,290,2.75412982350676e-12,1433915.5,572119
CB05,290,1.23825828063362e-11,4349786,1472039.75
CB05,290,2.70155009474138e-11,7346753,2134048.5
CB05,290,4.51783020716245e-11,10438324,2661972
CB05,290,6.56817100708196e-11,13630507,3122216.25
CB05,290,8.7882756627522e-11,16925788,3552286.25
CB05,290,1.11388717694005e-10,20325284,3972862
CB05,290,1.35959576930134e-10,23829506,4395776
CB05,290,1.61470517512363e-10,27438386,4828193
CB05,290,1.87847723487344e-10,31151670,5274289.5
CB05,290,2.1504464875477e-10,34968636,5736638.5
CB05,290,2.43031983426789e-10,38888288,6216713.5
CB05,290,2.71788369587966e-10,42909140,6715619
CB05,290,3.01300318028552e-10,47029584,7233732
CB05,290,3.31556310184666e-10,51247504,7771416
CB05,290,3.62554042343533e-10,55560736,8328598
CB05,290,3.94287547056393e-10,59966780,8904968
CB05,290,4.26753299365146e-10,64462788,9500215
CB05,290,4.59948662490106e-10,69045752,10113906
CB05,290,4.93871610274255e-10,73712512,10745018
CB05,290,5.28685151213182e-10,78459832,11392619
CB05,290,5.64247648604521e-10,83284176,12055650
CB05,290,6.00548832885295e-10,88182304,12733711
CB05,290,6.375885930332e-10,93150728,13425365
CB05,290,6.75367206603994e-10,98185864,14129548
CB05,290,7.13885617287247e-10,103284248,14845211
CB05,290,7.53145101839436e-10,108442800,15571225
CB05,290,7.93147547639705e-10,113658104,16307224
CB05,290,8.33895785756766e-10,118927152,17051630
CB05,290,8.75392869303937e-10,124246920,17802824
CB05,290,9.17642628550652e-10,129614544,18559642
CB05,290,9.60644674918854e-10,135027264,19320984
CB05,290,1.00440755712583e-09,140482576,20085700
CB05,290,1.04893693730901e-09,145978288,20853166
CB05,290,1.09423903271733e-09,151512016,21622116
CB05,290,1.14032039366663e-09,157082016,22390996
CB05,290,1.18718901376269e-09,162686240,23158292
CB05,290,1.23485000003143e-09,168322704,23922996
CB05,290,1.28331301141316e-09,173990080,24683796
CB05,290,1.33258659662516e-09,179686752,25440142
CB05,290,1.38267974847395e-09,185411232,26191004
CB05,290,1.43360190385522e-09,191162160,26935474
CB05,290,1.48536216659778e-09,196938368,27672664
CB05,290,1.53797041768655e-09,202738720,28401332
CB05,290,1.59143198619205e-09,208561744,29120672
CB05,290,1.64576041683517e-09,214406592,29830224
CB05,290,1.70096559060084e-09,220272400,30529110
CB05,290,1.75705672234017e-09,226157616,31216692
CB05,290,1.81404247179273e-09,232061792,31892208
CB05,290,1.87193149869813e-09,237983728,32555058
CB05,290,1.9012171836863e-09,240951232,32881490
CB05,290,2.54145327005517e-09,301032800,38628524
CB05,290,3.28525828763304e-09,362035840,42749944
CB05,290,4.12269374194807e-09,423394112,45314164
CB05,290,5.04893105102155e-09,484674240,46587060
CB05,290,6.03317396041803e-09,545542464,46884168
CB05,290,7.05600822215047e-09,605766144,46524740
CB05,290,8.10172373633122e-09,665184000,45729164
CB05,290,9.15818709756877e-09,723686272,44628620
CB05,290,1.02166710647111e-08,781220800,43362460
CB05,290,1.12708606891943e-08,837763136,41992400
CB05,290,1.23162067211524e-08,893305856,40572824
CB05,290,1.33495987597598e-08,947860800,39146088
CB05,290,1.43688660969588e-08,1001443200,37767732
CB05,290,1.53724961649004e-08,1054073856,36418088
CB05,290,1.63596283186962e-08,1105780736,35104352
CB05,290,1.73297216576884e-08,1156590720,33835972
CB05,290,1.82826589423257e-08,1206537472,32624316
CB05,290,1.92182518787831e-08,1255644160,31476842
CB05,290,2.01366212593257e-08,1303938048,30376432
CB05,290,2.10379731413468e-08,1351446528,29324186
CB05,290,2.19227267450606e-08,1398200576,28323612
CB05,290,2.27910899042172e-08,1444216832,27373180
CB05,290,2.3643446311894e-08,1489521536,26470792
CB05,290,2.44803128879312e-08,1534142080,25611758
CB05,290,2.53020679963356e-08,1578097792,24794280
