Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
MOZART-4,290,2.51842511289624e-08,1534142080,21414492
MOZART-4,290,2.60044039634977e-08,1578097792,20812020
MOZART-4,290,2.68097100075693e-08,1621406336,20236042
MOZART-4,290,2.76006204558144e-08,1664085248,19686068
MOZART-4,290,2.83775598575176e-08,1706155008,19160154
MOZART-4,290,2.91409563146772e-08,1747633536,18656986
MOZART-4,290,2.98913249707766e-08,1788539008,18175086
MOZART-4,290,3.06289607010513e-08,1828887552,17711452
MOZART-4,290,3.13542756202878e-08,1868688384,17272766
MOZART-4,290,3.20676463161362e-08,1907962752,16852536
MOZART-4,290,3.27696056956484e-08,1946723456,16450152
MOZART-4,290,3.34603456053628e-08,1984981888,16064847
MOZART-4,290,3.41402213166475e-08,2022748416,15696002
MOZART-4,290,3.4809580995443e-08,2060035456,15341409
MOZART-4,290,3.54687230696982e-08,2096855168,15001781
MOZART-4,290,3.61180134689221e-08,2133217920,14675455
MOZART-4,290,3.67578643079014e-08,2169140736,14357890
MOZART-4,290.5,5.24517061728513e-12,1456051.125,342561.03125
MOZART-4,290.5,1.67328460115579e-11,4417583,1068417.625
MOZART-4,290.5,3.09706288392775e-11,7462139.5,1760998.5
MOZART-4,290.5,4.85742661371358e-11,10603207,2384643.75
MOZART-4,290.5,6.93645210714244e-11,13846722,2937297.25
MOZART-4,290.5,9.28697674318357e-11,17195108,3432526
MOZART-4,290.5,1.18693180284346e-10,20649368,3886436.25
MOZART-4,290.5,1.4650050617071e-10,24209962,4312788.5
MOZART-4,290.5,1.75968919990943e-10,27876796,4722562
MOZART-4,290.5,2.06924324896995e-10,31649466,5124370.5
MOZART-4,290.5,2.39247260891418e-10,35527236,5524874
MOZART-4,290.5,2.72852962446279e-10,39509000,5929127
MOZART-4,290.5,3.07677106015092e-10,43593236,6340881.5
MOZART-4,290.5,3.4367281243064e-10,47778176,6762918.5
