Mechanism,Temperature,NOx.Emissions,Rate.Constant
MCMv3.2,290,1788539008,8.37450425024144e-05
MCMv3.2,290,1828887552,8.37450425024144e-05
MCMv3.2,290,1868688512,8.37450425024144e-05
MCMv3.2,290,1907962752,8.37450425024144e-05
MCMv3.2,290,1946723200,8.37450425024144e-05
MCMv3.2,290,1984981888,8.37450425024144e-05
MCMv3.2,290,2022748416,8.37450425024144e-05
MCMv3.2,290,2060035584,8.37450425024144e-05
MCMv3.2,290,2096855168,8.37450425024144e-05
MCMv3.2,290,2133217792,8.37450425024144e-05
MCMv3.2,290,2169140736,8.37450425024144e-05
MCMv3.2,290.5,1456051.375,9.08490546862595e-05
MCMv3.2,290.5,4417583,9.08490546862595e-05
MCMv3.2,290.5,7462139.5,9.08490546862595e-05
MCMv3.2,290.5,10603207,9.08490546862595e-05
MCMv3.2,290.5,13846722,9.08490546862595e-05
MCMv3.2,290.5,17195108,9.08490546862595e-05
MCMv3.2,290.5,20649368,9.08490546862595e-05
MCMv3.2,290.5,24209962,9.08490546862595e-05
MCMv3.2,290.5,27876796,9.08490546862595e-05
MCMv3.2,290.5,31649466,9.08490546862595e-05
MCMv3.2,290.5,35527236,9.08490546862595e-05
MCMv3.2,290.5,39509000,9.08490546862595e-05
MCMv3.2,290.5,43593236,9.08490546862595e-05
MCMv3.2,290.5,47778176,9.08490546862595e-05
MCMv3.2,290.5,52061576,9.08490546862595e-05
MCMv3.2,290.5,56441340,9.08490546862595e-05
MCMv3.2,290.5,60914708,9.08490546862595e-05
MCMv3.2,290.5,65478788,9.08490546862595e-05
MCMv3.2,290.5,70130560,9.08490546862595e-05
MCMv3.2,290.5,74866664,9.08490546862595e-05
MCMv3.2,290.5,79683840,9.08490546862595e-05
MCMv3.2,290.5,84578584,9.08490546862595e-05
MCMv3.2,290.5,89547344,9.08490546862595e-05
MCMv3.2,290.5,94586744,9.08490546862595e-05
MCMv3.2,290.5,99693072,9.08490546862595e-05
MCMv3.2,290.5,104863008,9.08490546862595e-05
MCMv3.2,290.5,110093168,9.08490546862595e-05
MCMv3.2,290.5,115380368,9.08490546862595e-05
MCMv3.2,290.5,120721384,9.08490546862595e-05
MCMv3.2,290.5,126113216,9.08490546862595e-05
MCMv3.2,290.5,131553096,9.08490546862595e-05
MCMv3.2,290.5,137038272,9.08490546862595e-05
MCMv3.2,290.5,142566096,9.08490546862595e-05
MCMv3.2,290.5,148134416,9.08490546862595e-05
MCMv3.2,290.5,153741120,9.08490546862595e-05
MCMv3.2,290.5,159384032,9.08490546862595e-05
